location,likes,text,date
"Madison, IN",87577,@realDonaldTrump @nytimes @SecAzar Hahaha! You don’t get to rewrite history. EVERYONE knows how slow you were to do… https://t.co/nDfWJzOcsw,2/16/2015
"Washington, USA",94034,RT @JoanieReb: Ron DeSantis calls Florida ‘God’s waiting room’ for dying seniors at coronavirus press conference - https://t.co/3Lv7gpFL4g,6/28/2016
"West Milford, NJ",42247,"RT @MattWalshBlog: If you’re a business owner in Virginia, now’s the time to move. Northam is trying to ruin your life. This is complete ma…",2/13/2018
"Laramie, WY",33564,"RT @ewarren: On #SOULSaturday, I’m joining @JoeBiden and thanking our essential workers who have always been the backbone of our nation’s r…",8/1/2011
"Atlanta, Georgia, USA",7365,This is great. I hope they are still distilling whiskey too because I am going to need both whiskey and sanitizer s… https://t.co/sfVtn0eNHH,12/11/2009
"New York, USA",79983,After the Pandemic: My Hopes for the Future of Schooling https://t.co/vVgQCwtcRX via @dianeravitch,11/7/2013
"Nashville, Tennessee",1747,"RT @RyanAFournier: China has officially come clean about undercounting Coronavirus cases.

They have failed to report patients without symp…",4/2/2012
"California, USA",2960,RT @BarbMcQuade: New Zealand crushed the Covid curve with only one death. This is how it is done in a country with a real leader.   https:/…,12/26/2016
"New York, USA",106619,RT @Delavegalaw: Who manaufactures this drug?,1/25/2017
"Ipswich, MA",5791,"RT @anandiyermd: 1 million % agree w/ this @lancet editorial &amp; cover.

Should energize what has long needed to be standard of care before #…",6/8/2013
"Portland, OR",31,RT @zlj517: Chinese spox: Dr. Helen Y. Chu sounded the alarm on #COVID19 in US back in January. Dr. McCarthy pleaded to health authorities…,12/24/2010
"Goddard, KS",7772,RT @ChrisLillyKAKE: Drake Dukes recently launched https://t.co/43svbDYrgm so that you could easily find restaurants that are still open and…,6/16/2011
"Dayton, OH",137,RT @DenardX: My son X practicing trick shots while social distancing! @espn @SportsCenter https://t.co/UELxgGxbS7,4/3/2009
"Colorado, USA",28,https://t.co/yWNYeCPhKz,8/2/2016
"Milwaukee, WI",16599,RT @SouthernHomo: She ABSOLUTELY knows what COVID-19 stands for and she's just doing this to gaslight the rest of the country,2/20/2013
"California, USA",47576,RT @ABC7: FEEDING THOSE WHO FEED US: These Californian Mexican restaurant owners woke up bright and early to feed the farm workers working…,7/10/2015
"Portland, OR",32984,"RT @SEIU: A4 -- (1/2) According to recent data, African-Americans are more likely to die from coronavirus than other groups. “A pandemic ju…",1/25/2017
"NYC, USA",1798,RT @DrEricDing: 🤔 Is coronavirus a VASCULAR disease too? New Lancet study suggests #COVID19 might also be vascular disease - with #SARSCoV2…,1/19/2012
"Michigan, USA",5815,"RT @RexChapman: Medics, bruh. 

These medics taped photos of themselves smiling on their PPE so frightened patients can see a reassuring an…",3/26/2009
"Tucson, Arizona",7901,RT @MARZHOTEL: @MotherJones Georgian Governor said on APRIL 2nd that he didn't know until then that asymptomatic transmission was possible.…,3/16/2020
"El Paso, Texas",3475,"@ChrisMurphyCT Blaming POTUS for what China did and afterwards hide, is an act of treason because you are a member… https://t.co/RcJMZblgfb",7/11/2010
"Los Angeles, CA",1628,"Trump is riffing on ""Tiger King"" during a coronavirus briefing??? WTF?? We are screwed.  @TrueFactsStated @DevinCow @BetoORourke @BetoMedia",2/25/2010
"Hurricane, WV",226905,"RT @mz4250: One of the perks of my #Patreon is having access to a Google Drive with all 2000 of my files in one place. However,  a lot of f…",11/21/2010
